"R0000100","R0214700","R0214800","R0618200","R0618300","R0618301"
240,3,2,46,46,50483
241,3,1,11,17,22027
242,3,2,32,35,30481
243,3,1,71,74,62957
244,3,2,80,79,73828
245,3,2,89,85,81929
246,3,1,64,80,82913
247,3,1,63,69,52544
248,3,1,12,13,8261
249,3,2,46,39,45311
250,3,2,-4,-4,-5
251,3,1,-4,-4,-4
252,3,2,-4,-4,-4
253,3,1,17,22,34745
254,3,2,98,94,94821
255,3,2,52,42,46148
256,3,2,48,51,56308
257,3,1,49,40,58214
258,3,2,98,81,76189
259,3,1,66,69,56348
260,3,1,89,88,83227
261,3,1,75,70,73360
262,3,2,47,45,33669
263,3,1,29,41,49339
264,3,2,91,87,93397
265,3,2,93,95,96501
266,3,1,-4,-4,-5
267,3,1,14,25,23365
268,3,1,58,54,49643
269,3,1,74,87,83698
270,3,1,63,72,77208
271,3,2,39,39,53793
272,3,2,95,89,94116
273,3,1,76,70,64372
274,3,1,87,84,88343
275,3,2,53,62,72963
276,3,2,44,44,48015
277,3,1,31,33,32567
278,3,2,48,44,51427
279,3,1,46,51,59272
280,3,2,81,89,89706
281,3,1,83,81,72769
282,3,2,77,79,85400
283,1,1,26,22,15136
284,1,1,42,44,44708
285,1,2,18,13,15448
286,1,2,43,51,62147
287,3,2,42,31,22699
288,3,2,19,14,15312
289,3,2,24,23,28861
290,1,2,8,8,11136
291,2,1,35,48,42445
292,3,2,96,89,92223
293,3,2,87,94,91927
294,3,2,44,53,62191
295,3,1,21,23,29995
296,3,1,25,15,25280
297,3,2,72,69,68168
298,1,2,12,8,13483
299,1,1,12,11,12439
300,1,1,2,2,2026
301,1,1,23,22,18916
302,1,1,5,6,5281
303,1,1,6,5,7399
304,1,1,3,3,11630
305,1,2,38,31,40990
306,2,1,34,24,27277
307,3,2,65,53,48032
308,3,1,14,12,10489
309,3,1,27,25,27779
310,3,1,21,18,18491
311,3,1,13,15,24685
312,3,2,42,49,52017
313,3,1,29,27,30794
314,3,2,-4,-4,-4
315,3,1,2,4,4138
316,3,1,16,12,18097
317,3,1,83,84,78739
318,3,1,13,13,19254
319,3,2,65,66,58575
320,3,1,64,73,68032
321,3,2,63,81,76525
322,3,2,42,34,23404
323,3,1,54,68,65825
324,3,1,9,7,10373
325,3,1,60,61,79151
326,3,2,-4,-4,-5
327,3,2,83,92,88257
328,1,1,-4,-4,-5
329,1,1,3,8,11508
330,1,1,13,14,12377
331,1,1,7,2,3428
332,1,1,27,27,33426
333,2,2,54,42,31724
334,2,1,28,27,25149
335,2,2,52,64,62746
336,2,1,19,23,25563
337,2,1,1,1,9044
338,2,2,14,20,23937
339,2,2,8,11,14391
340,2,2,18,14,20415
341,3,2,63,54,46696
342,3,1,91,96,95123
343,2,2,1,1,738
344,3,2,89,95,95959
345,2,2,42,51,59310
346,3,1,49,37,43221
347,3,2,69,62,65774
348,3,1,55,56,36155
349,3,1,38,40,35208
350,3,1,38,46,47180
351,3,1,26,24,19021
352,3,2,60,45,40321
353,3,1,46,53,53498
354,3,2,78,71,65997
355,3,1,41,42,55481
356,3,1,52,43,41794
357,3,1,66,59,68746
358,3,1,34,32,28374
359,3,2,39,32,37740
360,3,2,80,87,80272
361,3,1,87,77,72327
362,3,1,16,25,19625
363,3,2,32,31,29278
364,3,1,87,88,87760
365,3,2,59,58,51397
366,3,1,47,56,61884
367,3,2,81,80,76624
368,2,2,79,75,72481
369,3,2,95,94,91042
370,3,2,89,92,89893
371,3,2,59,59,69348
372,3,1,77,90,94680
373,3,2,17,19,11771
374,3,2,17,16,15933
375,3,1,11,10,11374
376,3,1,89,76,83170
377,2,1,32,35,32899
378,2,1,30,26,22233
379,2,2,1,4,13260
380,2,1,8,10,10471
381,2,1,68,58,49149
382,2,2,5,7,11672
383,2,1,25,32,34902
384,2,1,27,27,40297
385,2,2,28,35,39687
386,2,2,55,52,63197
387,2,1,1,1,5552
388,2,2,73,71,78241
389,3,2,-4,-4,-5
390,2,2,14,7,4998
391,2,2,16,20,23959
392,3,1,88,90,93142
393,3,1,67,80,76768
394,2,1,5,5,6294
395,2,2,26,37,43910
396,2,1,17,12,19013
397,2,2,4,3,7921
398,2,1,34,28,17477
399,3,2,78,76,66314
400,3,2,99,99,100000
401,3,2,25,24,24833
402,3,2,28,29,24406
403,3,1,4,6,3253
404,3,1,12,9,6911
405,3,2,24,22,16239
406,3,1,34,33,43726
407,3,2,49,40,45758
408,3,1,89,79,85102
409,3,1,82,92,90513
410,3,1,68,64,68615
411,3,1,12,17,18169
412,3,1,59,56,64607
413,3,1,26,23,21730
414,3,2,65,64,73351
415,3,1,14,12,9537
416,3,2,73,68,53109
417,3,1,49,56,55338
418,3,2,59,45,60767
419,3,1,63,51,48516
420,3,1,49,56,66045
421,3,1,99,99,100000
422,3,1,99,99,99379
