"R0000100","R0214700","R0214800","R0618200","R0618300","R0618301"
3183,3,2,87,87,81120
3184,3,2,70,71,86549
3185,3,2,62,70,83977
3186,3,1,78,82,70703
3187,3,1,99,99,97762
3188,2,2,24,32,23362
3189,2,1,57,72,74512
3190,2,2,8,7,17018
3191,2,2,15,12,12665
3192,2,1,39,35,31785
3193,3,1,76,78,75440
3194,3,1,30,28,25518
3195,3,1,65,74,59617
3196,3,1,69,72,66428
3197,3,2,33,38,43955
3198,3,2,62,68,69661
3199,3,2,21,17,16749
3200,3,1,30,35,24193
3201,3,2,77,88,88518
3202,3,1,37,37,34983
3203,3,1,26,28,43176
3204,3,2,37,41,52129
3205,3,2,69,76,83732
3206,3,2,41,37,49106
3207,3,1,75,58,57768
3208,3,1,94,92,92189
3209,3,2,71,46,53889
3210,3,1,57,51,67243
3211,3,1,46,49,49313
3212,3,2,99,95,94747
3213,3,1,43,59,74571
3214,3,1,62,70,73204
3215,3,1,69,62,68957
3216,3,1,95,94,95111
3217,3,2,-4,-4,-4
3218,3,2,39,48,50820
3219,3,1,48,68,60974
3220,3,1,73,82,80835
3221,3,2,56,72,87803
3222,3,2,82,76,75354
3223,3,2,89,88,92292
3224,3,1,78,88,77251
3225,3,2,75,76,81344
3226,3,1,86,99,98716
3227,3,2,87,99,100000
3228,3,1,56,66,74327
3229,3,1,57,65,82125
3230,3,1,11,8,8961
3231,3,2,53,54,61426
3232,3,1,71,57,45018
3233,3,2,57,53,40697
3234,3,2,64,66,64311
3235,3,1,74,69,74936
3236,3,2,55,50,69055
3237,3,2,54,50,45032
3238,2,2,69,84,85024
3239,2,1,42,59,63447
3240,3,1,88,93,96819
3241,3,1,91,90,89103
3242,3,2,62,52,55896
3243,3,2,77,75,58532
3244,3,2,51,69,82180
3245,3,2,33,40,51236
3246,3,1,49,42,38573
3247,3,1,50,35,43302
3248,3,2,57,69,77003
3249,3,2,42,61,56140
3250,3,2,98,99,99453
3251,3,1,74,81,78718
3252,3,2,32,22,28527
3253,3,2,4,1,572
3254,3,2,54,47,67565
3255,3,1,90,91,91683
3256,3,1,89,99,97873
3257,3,1,86,96,98634
3258,3,1,83,89,89343
3259,2,2,1,1,1145
3260,2,2,2,2,3283
3261,2,1,14,12,16527
3262,3,2,19,23,22175
3263,3,1,80,97,96452
3264,1,1,22,21,21626
3265,1,1,23,25,29955
3266,1,2,43,45,44505
3267,1,1,75,78,78896
3268,1,2,13,13,22938
3269,1,2,32,46,47051
3270,1,1,2,4,1277
3271,3,1,-4,-4,-4
3272,3,1,17,11,16201
3273,1,2,5,8,10456
3274,1,1,-4,-4,-4
3275,3,1,66,79,84104
3276,3,2,51,57,64978
3277,3,1,75,80,84126
3278,3,2,81,77,60446
3279,3,1,18,16,13410
3280,3,2,42,53,61654
3281,1,1,52,56,55405
3282,1,1,38,29,33772
3283,1,1,16,17,14537
3284,3,1,45,42,50333
3285,1,2,14,14,14453
3286,1,2,75,77,75710
3287,3,2,20,27,39989
3288,1,2,13,13,20051
3289,3,1,93,94,94381
3290,3,1,88,92,93795
3291,3,2,37,45,53457
3292,3,2,54,51,41120
3293,3,2,62,56,63654
3294,3,2,98,95,94740
3295,3,2,91,90,94806
3296,3,1,73,70,61616
3297,2,1,10,14,13034
3298,1,2,-3,-3,1046
3299,1,2,31,45,42659
3300,1,2,11,17,12454
3301,1,1,40,52,50796
3302,1,1,56,74,77135
3303,3,2,97,97,94269
3304,1,2,68,82,80934
3305,1,2,63,62,78189
3306,2,2,14,16,25048
3307,2,1,15,17,21330
3308,2,2,10,14,20264
3309,2,2,93,94,92951
3310,2,1,14,18,27814
3311,2,1,14,17,18024
3312,2,2,13,12,6887
3313,3,1,4,5,1739
3314,3,1,42,44,48817
3315,2,2,47,34,34992
3316,2,2,13,8,11714
3317,2,2,6,2,2463
3318,2,1,3,3,2123
3319,3,1,5,6,15354
3320,3,2,6,5,5019
3321,3,2,3,3,12579
3322,2,2,14,14,11508
3323,2,1,27,30,27875
3324,2,1,18,17,30357
3325,2,2,10,8,4022
3326,2,1,3,3,3975
3327,2,1,1,5,11116
3328,3,1,68,66,54747
3329,3,1,74,69,70007
3330,3,1,14,16,21713
3331,3,1,22,25,18388
3332,3,2,-4,-4,-4
3333,3,1,-4,-4,-4
3334,2,1,25,24,28972
3335,3,1,44,49,53555
3336,3,1,20,27,21195
3337,3,2,92,80,89081
3338,3,2,85,88,89463
3339,3,2,63,80,89511
3340,3,1,33,49,51000
3341,3,2,35,37,38607
3342,3,2,29,26,21982
3343,3,2,23,18,24527
3344,3,1,63,67,51012
3345,3,2,48,49,46920
3346,3,1,15,13,19847
3347,3,2,59,53,35431
3348,3,2,25,33,31705
3349,3,2,15,16,18676
3350,3,2,39,53,59694
3351,3,1,70,66,64625
3352,3,2,72,72,76359
3353,3,1,16,15,16881
3354,3,1,37,36,32157
3355,3,2,79,71,62443
3356,3,1,42,40,43776
3357,3,1,50,42,63141
3358,3,2,76,84,77831
3359,3,1,63,79,72763
3360,3,2,43,52,67272
3361,3,1,58,64,75092
3362,3,2,35,37,34454
3363,3,2,58,68,77027
3364,3,2,87,80,84004
3365,3,2,31,31,42299
3366,3,1,74,76,74270
3367,3,2,87,99,98982
3368,3,2,94,97,99400
3369,3,2,86,95,91112
3370,3,2,55,57,76987
3371,2,2,5,7,31539
3372,3,1,35,30,18701
3373,3,2,21,18,17885
3374,3,1,32,44,51063
3375,3,1,42,43,48318
3376,3,1,68,65,74979
3377,3,2,68,74,85986
3378,3,2,65,55,58958
3379,3,1,77,80,81031
3380,3,1,94,91,90763
3381,3,1,76,82,79141
3382,3,1,59,70,77607
3383,3,2,67,62,68563
3384,3,2,64,54,66224
3385,3,1,72,73,86301
3386,3,2,19,22,34209
3387,2,2,66,70,65907
3388,2,1,79,96,98970
3389,3,1,79,81,72590
3390,2,1,93,88,80348
3391,2,1,95,99,100000
3392,2,1,32,39,33465
3393,2,2,22,23,27639
3394,2,1,69,59,65826
3395,3,1,55,63,75491
3396,3,1,83,81,84632
3397,3,2,38,39,48483
3398,3,1,49,42,54253
3399,3,1,87,84,80288
3400,3,1,17,26,16139
3401,3,1,41,34,35316
3402,3,2,63,55,65213
3403,3,1,51,48,52847
3404,3,1,89,87,89713
3405,3,1,89,84,95206
3406,3,2,64,72,87896
3407,3,2,-4,-4,-4
3408,3,2,30,29,25825
3409,3,2,59,55,62361
3410,3,1,75,75,73196
3411,3,2,49,55,86623
3412,3,2,-4,-4,-5
3413,3,2,90,87,73678
3414,3,1,65,59,52758
3415,3,1,38,42,40203
3416,3,2,57,40,41012
3417,3,1,42,33,41461
3418,3,2,37,29,46630
3419,3,2,42,51,41650
3420,3,1,65,84,76206
3421,3,2,54,64,77549
3422,3,2,55,67,75246
3423,3,2,93,90,89754
3424,3,2,93,89,86745
3425,3,1,74,73,79069
3426,3,2,86,87,93457
3427,3,2,88,87,91975
3428,3,2,99,97,96365
3429,3,2,98,93,84702
3430,3,2,99,99,98418
3431,3,1,89,99,100000
3432,3,2,96,95,92486
3433,3,2,93,84,68906
3434,1,2,44,37,27003
3435,1,2,1,1,131
3436,1,2,1,1,0
3437,1,1,1,1,0
3438,1,2,1,1,0
3439,3,1,48,47,55549
3440,3,1,19,15,12346
3441,3,1,19,15,15622
3442,3,2,88,93,95099
3443,3,1,90,95,95575
3444,3,2,28,25,25156
3445,3,2,82,75,70650
3446,3,2,53,48,34824
3447,2,2,5,6,8376
3448,3,2,-4,-4,-5
3449,3,1,-4,-4,-5
3450,3,1,-4,-4,-4
3451,3,2,-4,-4,-4
3452,3,2,41,35,44827
3453,3,1,16,22,28581
3454,3,2,-4,-4,-5
3455,3,1,64,67,63061
3456,3,2,30,37,39194
3457,3,2,19,14,14135
3458,3,2,23,21,25830
3459,3,2,65,72,83153
3460,3,1,17,16,22708
3461,3,1,79,92,88411
3462,3,1,45,42,47612
3463,3,1,42,47,63241
3464,3,1,81,93,96279
3465,3,2,78,75,82154
3466,3,1,65,73,88224
3467,3,2,35,42,43428
3468,3,1,88,96,94705
3469,3,2,92,93,97109
3470,3,1,53,42,49625
3471,3,1,20,21,18838
3472,3,1,58,56,58518
3473,3,1,42,35,30285
3474,3,1,22,16,12607
3475,3,2,14,15,18263
3476,3,2,26,29,33828
3477,3,2,49,57,63210
3478,3,1,58,51,43424
3479,3,1,28,29,39476
3480,3,2,29,32,25652
3481,3,2,79,70,65371
3482,3,1,17,18,14447
3483,3,1,14,19,23172
3484,3,1,6,7,5647
3485,3,2,94,93,93419
3486,3,2,89,82,83037
3487,3,2,41,33,34632
3488,3,2,65,55,53699
3489,3,1,48,46,49900
3490,3,1,-4,-4,-5
3491,3,2,26,22,21083
3492,3,1,45,54,66416
3493,3,1,63,62,56788
3494,3,1,60,58,51167
3495,3,1,45,48,36121
3496,3,2,75,62,63829
3497,3,1,72,84,91675
3498,3,2,18,22,22579
3499,3,1,-4,-4,-4
3500,1,2,75,71,55835
3501,3,2,42,29,22447
3502,1,2,53,47,43096
3503,3,1,85,67,56814
3504,3,2,44,48,37546
3505,3,2,69,54,56313
3506,3,2,75,78,79063
3507,3,1,71,69,75331
3508,3,2,22,20,21706
3509,3,1,-4,-4,-4
3510,3,1,16,18,18559
3511,3,2,79,75,81893
3512,3,2,20,15,19351
3513,3,1,30,25,18312
3514,3,2,68,65,74184
3515,3,1,98,98,99396
3516,3,1,30,22,26619
3517,3,1,35,30,44921
3518,3,2,39,34,23609
3519,3,2,5,4,5699
3520,3,1,27,29,33591
3521,3,1,31,37,40802
3522,3,2,10,10,13607
3523,3,2,49,52,61807
3524,3,2,26,26,27020
3525,3,1,98,98,98118
3526,3,1,56,50,36108
3527,3,2,57,59,58406
3528,3,1,37,51,44683
3529,3,1,39,44,54924
3530,3,1,90,94,95493
3531,3,2,68,76,65807
3532,3,2,65,47,53789
3533,3,1,87,86,85393
3534,1,1,92,95,89897
3535,1,2,96,92,92404
3536,1,2,58,59,63329
3537,3,2,35,48,38672
3538,2,1,69,75,67319
3539,2,1,16,11,17587
3540,2,1,28,37,36551
3541,2,1,5,6,11028
3542,2,2,10,11,12436
3543,2,2,20,19,29695
3544,2,2,10,8,5665
3545,2,2,32,32,40382
3546,2,2,36,42,55054
3547,2,2,43,41,40401
3548,2,2,18,16,23819
3549,3,2,26,27,29121
3550,3,1,73,64,62616
3551,3,2,94,92,95741
3552,3,2,72,72,83704
3553,3,1,77,73,78494
3554,3,2,47,44,65232
3555,3,2,34,37,30231
3556,3,2,39,30,26054
3557,3,2,21,27,34815
3558,3,2,63,58,72743
3559,3,1,93,84,83662
3560,3,2,78,67,80612
3561,3,1,2,4,4231
3562,3,1,19,17,16231
3563,3,1,19,15,25734
3564,3,2,25,17,12964
3565,3,2,85,84,84823
3566,3,2,70,61,46411
3567,3,1,73,72,62489
3568,3,2,43,35,29205
3569,3,1,20,16,19175
3570,3,1,12,6,4347
3571,3,1,14,13,20536
3572,3,2,17,13,18677
3573,3,2,99,99,99639
3574,3,2,99,99,98092
3575,3,1,53,39,28797
3576,3,2,59,56,64704
3577,3,1,2,2,2051
3578,3,1,20,10,17919
3579,3,1,67,56,42908
3580,3,1,78,71,75229
3581,3,1,69,59,55513
3582,3,1,83,80,77911
3583,3,1,99,99,99022
3584,3,2,26,22,18188
3585,3,1,98,97,94650
3586,3,2,-4,-4,-5
3587,3,1,83,79,76091
3588,3,1,46,65,71155
3589,3,1,69,58,51560
3590,3,1,94,92,90906
3591,3,1,77,70,77562
3592,3,1,56,56,61802
3593,3,1,69,56,71054
3594,3,2,14,31,29377
3595,3,1,52,40,40522
3596,3,1,40,36,48605
3597,3,2,62,66,54584
3598,3,1,24,21,21334
3599,3,1,55,52,52464
3600,3,1,81,79,57648
3601,3,2,81,78,79229
3602,3,1,76,57,62217
3603,3,2,59,57,61383
3604,3,1,34,26,26294
3605,3,2,90,80,74851
3606,3,2,60,49,57872
3607,3,1,28,42,32823
3608,3,1,95,93,90060
3609,3,2,54,53,50181
3610,3,2,30,28,18919
3611,3,2,48,49,45548
3612,3,1,27,37,41128
3613,3,2,87,77,74682
3614,3,2,95,92,91863
3615,3,1,73,76,82777
3616,3,1,89,88,91974
3617,3,1,90,88,78008
3618,3,2,77,75,56642
3619,3,1,85,84,88649
3620,3,1,49,44,38967
3621,3,1,12,9,8637
3622,3,1,3,5,4654
3623,3,1,96,95,92432
3624,3,2,90,91,93901
3625,3,2,86,84,92207
3626,3,2,66,53,47680
3627,3,1,67,70,59848
3628,3,1,70,65,50492
3629,3,2,71,66,79523
3630,3,2,96,93,95098
3631,3,2,19,11,13005
3632,3,1,10,6,12979
3633,3,2,-4,-4,-4
3634,3,1,9,10,14817
3635,3,2,14,15,14534
3636,3,2,41,49,57089
3637,3,2,32,23,12785
3638,3,1,30,25,30405
3639,3,1,3,2,3490
3640,3,1,2,4,1107
3641,3,2,42,50,44391
3642,3,1,37,36,37705
3643,3,2,24,22,33724
3644,3,1,25,29,35297
3645,3,1,30,27,20119
3646,3,1,75,65,55556
3647,3,2,13,15,22295
3648,3,2,39,35,39675
3649,3,2,10,8,12016
3650,3,2,42,36,33934
3651,3,2,69,54,50502
3652,3,2,19,12,9648
3653,3,1,70,57,63556
3654,3,2,7,7,10147
3655,3,2,19,16,22394
3656,3,1,43,40,53812
3657,3,1,6,10,8601
3658,3,1,2,3,1122
3659,3,2,18,19,25028
3660,3,1,3,3,6285
3661,3,2,34,36,38955
3662,3,2,32,23,17578
3663,3,2,69,72,69892
3664,1,1,94,91,78053
3665,3,1,87,84,66805
3666,1,1,86,86,89195
3667,3,2,70,70,76656
3668,3,1,99,99,99384
3669,3,2,93,88,93677
3670,3,1,83,99,98204
3671,3,2,86,88,97927
3672,3,1,81,86,80718
3673,3,1,87,87,83039
3674,3,2,52,55,59352
3675,3,1,42,51,78493
3676,3,1,83,92,90283
3677,3,2,85,88,90778
3678,3,2,84,74,80034
3679,3,2,56,55,67885
3680,3,1,56,84,87409
3681,3,2,-4,-4,-4
3682,3,2,65,74,90260
3683,3,2,99,99,98958
3684,3,2,99,99,99426
3685,3,1,83,79,74984
3686,3,1,76,71,76418
3687,3,2,46,41,38054
3688,3,2,88,97,98105
3689,3,1,99,99,95345
3690,3,1,86,96,97840
3691,3,2,-4,-4,-4
3692,2,2,14,13,9938
3693,3,1,26,28,33068
3694,3,1,49,50,40937
3695,2,1,49,40,50653
3696,2,2,39,36,52618
3697,1,2,25,14,23181
3698,1,2,30,21,20809
3699,2,2,23,15,11840
3700,1,1,66,52,48520
3701,1,1,-4,-4,-5
3702,1,1,49,55,49905
3703,2,2,3,1,226
3704,2,2,10,8,10380
3705,3,2,73,61,71213
3706,3,1,55,57,37080
3707,3,1,85,90,86836
3708,3,1,91,86,87553
3709,3,2,52,49,57749
3710,3,1,-4,-4,-4
3711,3,2,86,86,85588
3712,3,1,73,78,76789
3713,3,1,58,71,75413
3714,3,2,67,67,64857
3715,3,2,91,79,79829
3716,3,1,77,75,66546
3717,3,2,86,82,89157
3718,3,2,46,37,47308
3719,3,2,26,34,29347
3720,3,2,74,67,56677
3721,3,1,79,80,83258
3722,3,1,55,48,53708
3723,3,1,40,45,45716
3724,3,1,73,55,67589
3725,3,2,52,49,40026
3726,3,2,76,68,74917
3727,3,2,67,56,68751
3728,3,2,51,54,54236
3729,3,2,47,54,53447
3730,3,2,96,92,87574
3731,3,1,42,43,58123
3732,3,1,99,97,99473
3733,3,1,2,5,10922
3734,3,2,73,71,83973
3735,3,2,45,47,59053
3736,3,2,71,65,69238
3737,3,2,54,44,44255
3738,3,2,29,28,34888
3739,3,2,59,61,68557
3740,3,2,16,15,16420
3741,3,2,21,18,31360
3742,3,1,23,25,38276
3743,3,1,96,93,91780
3744,3,2,76,84,79579
3745,3,1,96,95,95983
3746,3,2,36,32,28755
3747,3,1,34,28,30419
3748,3,1,89,84,86927
3749,3,2,2,4,5931
3750,3,1,56,68,79149
3751,3,1,33,43,60681
3752,3,2,-4,-4,-4
3753,3,2,-4,-4,-4
3754,3,2,83,82,81924
3755,3,2,81,75,76508
3756,3,2,39,53,60929
3757,3,1,98,96,97506
3758,3,2,93,90,86305
3759,3,2,39,33,32902
3760,3,1,42,42,54302
3761,3,1,18,14,20368
3762,3,1,-4,-4,-5
3763,3,1,-4,-4,-5
3764,3,2,69,85,86213
3765,3,1,87,76,88839
3766,3,1,89,82,73454
3767,3,2,76,78,70472
3768,3,2,17,19,12310
3769,3,2,32,30,27625
3770,3,2,53,55,54943
3771,3,2,72,74,87764
3772,3,2,55,56,63580
3773,3,2,75,68,59594
3774,3,2,-4,-4,-4
3775,3,2,73,77,71105
3776,3,1,92,85,90261
3777,3,1,65,57,56903
3778,3,1,29,32,42206
3779,3,2,96,89,85924
3780,3,1,48,50,66841
3781,3,2,76,70,75934
3782,3,1,76,82,86908
3783,3,2,32,67,75622
3784,3,2,28,29,35256
3785,3,2,96,94,90971
3786,3,2,32,29,21851
3787,3,2,80,67,50928
3788,3,1,72,70,70379
3789,3,1,65,59,59009
3790,3,2,26,37,39133
3791,3,2,83,77,73529
3792,3,1,91,97,94762
3793,3,2,57,54,49422
3794,3,2,46,53,66337
3795,3,1,68,72,77849
3796,3,2,90,88,94245
3797,3,2,79,78,89759
3798,3,2,56,46,52811
3799,3,2,75,62,65844
3800,3,2,49,63,65354
3801,3,1,35,35,25147
3802,3,2,70,74,74172
3803,3,1,81,82,81774
3804,3,2,87,85,80927
3805,3,1,79,75,78523
3806,3,2,70,70,61494
3807,3,1,55,51,49038
3808,3,1,99,99,99528
3809,3,2,84,90,93854
3810,3,1,29,26,23492
3811,3,1,93,99,100000
3812,3,2,99,99,100000
3813,3,2,76,77,88799
3814,3,2,68,62,62096
3815,3,1,81,84,90913
3816,3,1,79,81,89253
3817,3,2,98,96,99188
3818,3,1,99,99,98780
3819,2,2,11,13,11317
3820,2,2,37,28,28979
3821,2,2,2,2,2531
3822,2,1,1,4,6558
3823,2,2,-4,-4,-4
3824,2,2,30,39,49784
3825,2,1,7,11,9201
3826,2,2,1,2,3188
3827,2,1,5,8,8861
3828,2,2,8,12,20801
3829,3,1,49,42,49060
3830,3,1,32,34,44827
3831,3,1,27,33,32252
3832,3,2,42,32,39847
3833,3,1,48,42,50489
3834,3,2,82,86,93333
3835,3,2,85,80,74071
3836,3,2,94,90,90790
3837,3,2,46,56,57761
3838,3,1,43,37,57333
3839,3,2,43,37,32180
3840,2,1,10,11,10846
3841,3,1,53,45,37436
3842,2,2,40,53,57610
3843,3,2,-4,-4,-5
3844,3,1,84,85,84585
3845,3,1,52,50,54553
3846,3,2,60,57,74995
3847,3,1,73,61,46544
3848,3,1,-4,-4,-4
3849,3,2,46,38,37254
3850,3,2,58,52,64154
3851,3,2,42,35,33379
3852,3,1,41,35,50215
3853,1,2,77,90,94064
3854,3,1,74,78,67468
3855,3,2,91,89,93686
3856,3,1,31,34,35680
3857,3,1,93,93,94233
3858,3,2,36,30,24317
3859,3,2,18,16,16014
3860,3,1,98,99,97808
3861,3,1,90,89,91350
3862,3,1,85,75,80434
3863,3,1,93,90,92504
3864,3,2,75,81,79088
3865,3,1,86,91,92807
3866,3,1,90,80,74600
3867,3,2,85,76,70700
3868,3,1,81,84,85012
3869,3,1,79,70,65503
3870,3,1,89,78,82358
3871,3,1,81,92,92529
3872,3,2,85,96,96590
3873,3,1,99,99,99342
3874,3,1,85,96,97670
3875,3,1,88,81,90868
3876,3,2,64,53,63988
3877,3,2,81,77,81416
3878,3,1,38,29,30393
3879,3,2,81,84,78030
3880,3,1,75,84,82583
3881,3,1,32,39,51305
3882,3,1,91,89,89269
3883,3,1,78,88,82984
3884,3,1,55,63,75101
3885,3,1,99,99,100000
3886,3,1,94,96,99600
3887,3,1,99,99,100000
3888,3,1,49,67,79761
3889,3,2,72,76,86544
3890,3,1,78,84,83431
3891,3,2,17,17,23773
3892,3,1,87,91,93865
3893,3,2,58,61,71653
3894,3,1,94,89,92888
3895,3,1,94,93,93615
3896,3,2,64,62,56741
3897,3,2,53,45,51486
3898,3,1,65,68,75594
3899,3,2,68,54,69025
3900,3,2,22,18,26617
3901,3,1,90,90,84705
3902,3,1,99,99,99914
3903,3,2,70,71,63919
3904,3,1,66,64,74430
3905,3,1,10,11,12010
3906,3,2,20,27,27411
3907,3,1,62,69,82183
3908,3,2,54,47,50191
3909,3,1,74,76,82472
3910,3,1,52,57,69363
3911,3,2,81,73,77538
3912,3,2,80,64,60383
3913,3,2,72,85,80812
3914,3,2,-4,-4,-4
3915,3,2,-4,-4,-4
3916,3,1,92,85,77034
3917,3,1,17,14,22794
3918,3,2,99,99,99492
3919,3,2,63,59,76986
3920,3,1,58,50,53785
3921,3,2,75,62,78138
3922,3,2,80,84,87206
3923,3,2,52,56,57964
3924,3,2,89,92,98883
3925,3,1,96,91,96914
3926,3,1,83,81,88365
3927,3,2,35,35,33917
3928,3,2,11,11,9138
3929,3,2,30,29,26367
3930,3,1,46,47,45457
3931,2,2,-4,-4,-4
3932,2,1,22,23,24217
3933,2,1,6,4,3486
3934,2,2,17,12,16355
3935,2,2,-4,-4,-4
3936,2,2,6,5,2940
3937,2,1,19,21,25064
3938,2,2,5,5,1849
3939,2,2,-4,-4,-5
3940,2,2,3,4,9976
3941,2,1,-4,-4,-5
3942,2,1,3,5,5525
3943,2,1,7,8,12083
3944,2,2,6,10,7215
3945,2,2,3,3,3280
3946,2,1,3,4,5683
3947,2,2,-4,-4,-4
3948,2,2,3,2,1585
3949,2,1,18,21,25725
3950,2,1,-4,-4,-5
3951,2,1,-4,-4,-4
3952,2,2,27,34,33771
3953,2,2,27,31,33404
3954,2,1,27,26,27045
3955,2,1,3,4,4990
3956,2,1,43,61,65363
3957,2,1,35,45,46335
3958,2,1,10,9,13954
3959,2,2,15,17,28716
3960,2,2,10,9,16305
3961,3,1,30,35,27870
3962,3,2,89,85,79541
3963,3,1,34,23,34369
3964,3,2,84,81,79540
3965,3,1,65,63,69890
3966,2,1,86,85,78668
3967,1,1,73,80,64451
3968,3,1,81,87,92321
3969,3,2,75,65,84309
3970,3,2,75,82,80373
3971,3,1,89,99,99021
3972,3,2,83,73,80035
3973,3,1,38,40,39268
3974,2,1,27,35,42958
3975,2,2,5,9,4594
3976,2,1,6,7,5784
3977,2,2,16,16,16627
3978,2,2,10,12,17848
3979,3,1,96,94,92481
3980,3,1,99,99,100000
3981,3,1,14,21,19851
3982,3,2,32,25,15147
3983,3,2,-4,-4,-4
3984,3,1,88,87,82152
3985,3,1,21,24,23502
3986,3,2,23,18,16813
3987,2,1,13,11,14441
3988,2,2,24,23,27336
3989,3,1,28,25,37626
3990,3,1,49,53,44948
3991,3,2,6,6,8842
3992,3,2,63,42,36821
3993,3,2,35,45,42890
3994,3,1,40,39,51047
3995,2,2,24,20,22435
3996,2,2,5,5,5375
3997,2,2,17,21,16509
3998,3,2,9,6,5933
3999,3,1,27,25,34421
4000,3,1,26,29,20640
4001,3,2,64,59,72427
4002,3,2,31,30,46128
4003,3,2,-4,-4,-5
4004,3,1,51,66,60943
4005,2,2,24,26,26462
4006,2,1,28,31,45724
4007,2,2,46,43,44062
4008,2,1,10,17,13462
4009,3,1,51,59,68077
4010,3,1,71,74,81673
4011,3,1,-4,-4,-5
4012,3,2,26,25,29529
4013,3,1,11,11,13418
4014,3,1,20,17,27247
4015,2,2,36,32,38207
4016,2,2,8,8,8873
4017,2,2,14,16,21535
4018,3,1,7,4,10707
4019,3,2,92,91,96219
4020,2,1,17,18,27754
4021,2,2,30,28,52841
4022,3,1,16,21,22701
4023,3,2,91,88,99700
4024,3,2,1,1,249
4025,3,1,25,25,31798
4026,3,2,-4,-4,-4
4027,3,2,73,54,56393
4028,3,2,15,17,24289
4029,3,1,38,35,43649
4030,3,2,49,47,53094
4031,3,1,1,1,942
4032,3,1,75,75,84930
4033,3,2,80,84,84521
4034,3,2,67,55,66706
4035,3,2,48,53,57901
4036,3,1,24,27,44242
4037,3,2,73,78,87922
4038,3,2,22,30,41801
4039,3,2,71,62,68161
4040,3,2,49,54,52975
4041,3,2,72,70,74218
4042,3,1,54,63,65827
4043,3,1,46,40,46939
4044,3,1,20,18,27021
4045,3,2,30,27,29591
4046,3,1,10,12,13281
4047,3,1,3,4,8404
4048,3,1,76,72,79940
4049,3,2,49,38,41698
4050,3,2,60,52,67759
4051,3,2,79,84,85097
4052,3,1,71,67,85777
4053,3,2,47,53,52676
4054,3,2,27,29,33359
4055,3,1,84,89,93952
4056,3,1,79,77,68436
4057,3,2,46,53,70040
4058,3,1,71,77,77229
4059,3,1,90,95,96789
4060,3,2,91,81,84638
4061,3,1,23,30,33624
4062,3,1,57,65,78162
4063,3,1,-4,-4,-5
4064,3,1,76,86,91216
4065,3,2,46,53,69495
4066,3,2,73,68,67776
4067,3,1,45,44,40633
4068,3,1,6,9,11904
4069,2,1,17,23,29981
4070,2,1,6,8,12697
4071,2,2,11,12,20078
4072,2,1,11,11,14680
4073,2,1,14,18,13882
4074,3,2,99,98,99487
4075,3,2,56,57,65092
4076,3,1,74,61,57165
4077,3,2,63,66,60404
4078,3,2,-4,-4,-4
4079,3,2,-4,-4,-4
4080,3,2,46,39,52333
4081,3,1,12,11,12918
4082,3,1,6,6,5862
4083,3,2,16,17,25218
4084,3,2,80,79,84766
4085,3,2,24,23,27619
4086,3,1,91,88,91062
4087,3,1,60,52,68261
4088,3,1,74,75,78525
4089,3,2,37,39,43387
4090,3,1,32,34,41162
4091,3,1,42,42,46741
4092,3,2,62,66,60810
4093,3,2,63,75,76602
4094,3,2,69,70,82381
4095,3,2,55,65,71516
4096,3,2,-4,-4,-5
4097,3,2,75,75,87379
4098,3,1,7,11,12622
4099,3,2,32,28,43702
4100,3,2,24,27,25376
4101,3,1,30,27,28067
4102,3,1,73,64,73265
4103,3,2,55,50,40437
4104,3,1,38,43,46031
4105,3,2,38,37,29923
4106,3,1,76,94,94695
4107,3,2,94,99,97965
4108,3,2,57,62,57772
4109,3,2,69,80,87692
4110,3,2,31,27,30810
4111,3,1,2,2,473
4112,3,2,3,5,2455
4113,3,1,8,10,8489
4114,3,1,50,48,59908
4115,3,2,52,55,69661
4116,3,2,62,64,78426
4117,3,1,23,19,17871
4118,3,1,6,5,6203
4119,3,1,18,17,9922
4120,3,2,37,31,24718
4121,3,2,8,11,6447
4122,3,1,98,98,95956
4123,2,2,6,10,18467
4124,3,2,69,62,64006
4125,3,2,44,35,50215
4126,3,2,-4,-4,-4
4127,3,1,68,68,61471
4128,3,1,67,51,38548
4129,3,1,53,58,64073
4130,3,1,1,1,94
4131,2,2,71,72,80354
4132,3,2,40,42,42470
4133,3,2,9,14,16359
4134,2,1,35,51,63130
4135,2,1,30,27,30725
4136,3,2,7,2,5276
4137,3,1,70,56,65206
4138,3,1,4,3,1124
4139,3,1,-4,-4,-5
4140,3,2,35,42,36225
4141,3,1,33,44,48239
4142,3,2,23,28,30605
4143,3,1,53,56,62963
4144,3,1,16,17,29830
4145,3,2,25,27,28605
4146,3,1,-4,-4,-5
4147,3,2,45,47,59747
4148,3,2,30,33,27311
4149,2,2,26,36,41113
4150,3,2,53,48,53274
4151,3,2,49,56,52544
4152,3,2,60,61,53708
4153,3,2,42,38,50374
4154,3,2,39,37,56010
4155,3,1,5,7,6274
4156,3,1,4,7,11085
4157,3,2,28,25,23058
4158,3,1,20,22,28542
4159,3,1,25,25,20127
4160,3,2,52,42,38366
4161,3,1,36,44,58278
4162,3,2,34,38,47639
4163,3,2,55,66,82644
4164,3,1,41,58,67035
4165,3,1,34,39,48236
4166,3,1,62,58,67153
4167,3,2,1,3,6188
4168,2,1,3,3,6679
4169,2,2,17,18,12240
4170,3,2,70,71,65553
4171,3,1,79,93,92381
4172,3,1,91,88,88546
4173,2,2,16,16,9084
